Tanggal SPS,Tanggal Bayar,No. SPS,Saluran,ID Pembeli,KAB/ Kota,Nama Komoditi,Jenis Komoditi,Merk Komoditi,Kemasan,Satuan,Kolli Terjual,Kuantum Terjual (Kg/L),Harga per Kemasan,Nominal Penjualan
29-06-2019,29-06-2019,01474/06/2019/09001/SPST,RPK-NON BPNT/Program Sembako,1048,KOTA ADM. JAKARTA SELATAN,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,1,1,70000,70000
29-06-2019,29-06-2019,01473/06/2019/09001/SPST,RPK-NON BPNT/Program Sembako,1043,KOTA ADM. JAKARTA SELATAN,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,30,30,70000,2100000
29-06-2019,29-06-2019,01473/06/2019/09001/SPST,RPK-NON BPNT/Program Sembako,1043,KOTA ADM. JAKARTA SELATAN,MINYAK GORENG,MINYAK GORENG KITA,MINYAK GORENG KITA,1,L,12,12,10500,126000
07-01-2019,07-01-2019,00023/07/2019/09010/SPST,RPK-NON BPNT/Program Sembako,25079,KAB. SERANG,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,12,12,70000,840000
07-01-2019,07-01-2019,00023/07/2019/09010/SPST,RPK-NON BPNT/Program Sembako,25079,KAB. SERANG,GULA,GKP EKS RAWSUGAR PT.DSI,MANIS KITA,1,Kg,10,10,11000,110000
07-01-2019,07-01-2019,00022/07/2019/09010/SPST,RPK-NON BPNT/Program Sembako,74522,KAB. SERANG,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,8,8,70000,560000
07-01-2019,07-01-2019,00021/07/2019/09010/SPST,RPK-NON BPNT/Program Sembako,51302,KOTA SERANG,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,15,15,70000,1050000
07-01-2019,07-01-2019,00020/07/2019/09010/SPST,RPK-NON BPNT/Program Sembako,73640,KAB. SERANG,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,6,6,70000,420000
07-01-2019,07-01-2019,00019/07/2019/09010/SPST,RPK-NON BPNT/Program Sembako,82158,KOTA SERANG,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,2,2,70000,140000
07-01-2019,07-01-2019,00018/07/2019/09010/SPST,RPK-NON BPNT/Program Sembako,71897,KAB. SERANG,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,17,17,70000,1190000
07-01-2019,07-01-2019,00018/07/2019/09010/SPST,RPK-NON BPNT/Program Sembako,71897,KAB. SERANG,GULA,GKP EKS RAWSUGAR PT.DSI,MANIS KITA,1,Kg,20,20,11000,220000
07-01-2019,07-01-2019,00018/07/2019/09010/SPST,RPK-NON BPNT/Program Sembako,71897,KAB. SERANG,MINYAK GORENG,MINYAK GORENG KITA,MINYAK GORENG KITA,1,L,19,19,9900,188100
07-01-2019,07-01-2019,00017/07/2019/09010/SPST,RPK-NON BPNT/Program Sembako,45159,KOTA CILEGON,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,25,25,70000,1750000
07-01-2019,07-01-2019,00016/07/2019/09010/SPST,RPK-NON BPNT/Program Sembako,82965,KOTA SERANG,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,200,200,70000,14000000
07-01-2019,07-01-2019,00016/07/2019/09010/SPST,RPK-NON BPNT/Program Sembako,82965,KOTA SERANG,MINYAK GORENG,MINYAK GORENG KITA,MINYAK GORENG KITA,1,L,12,12,9900,118800
07-01-2019,07-01-2019,00015/07/2019/09010/SPST,RPK-NON BPNT/Program Sembako,73215,KAB. SERANG,GULA,GKP EKS RAWSUGAR PT.DSI,GULA POLOS,50,Kg,150,7500,500000,75000000
07-01-2019,07-01-2019,00014/07/2019/09010/SPST,RPK-NON BPNT/Program Sembako,38146,KAB. SERANG,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,40,40,70000,2800000
07-01-2019,07-01-2019,00013/07/2019/09010/SPST,RPK-NON BPNT/Program Sembako,57470,KOTA SERANG,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,85,85,70000,5950000
07-01-2019,07-01-2019,00012/07/2019/09010/SPST,RPK-NON BPNT/Program Sembako,51342,KOTA CILEGON,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,5,5,70000,350000
07-01-2019,07-01-2019,00011/07/2019/09010/SPST,RPK-NON BPNT/Program Sembako,82968,KAB. SERANG,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,21,21,70000,1470000
07-01-2019,07-01-2019,00010/07/2019/09010/SPST,RPK-NON BPNT/Program Sembako,85369,KOTA ADM. JAKARTA TIMUR,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,2,2,70000,140000
07-01-2019,07-01-2019,00009/07/2019/09010/SPST,RPK-NON BPNT/Program Sembako,85380,KAB. BOGOR,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,2,2,70000,140000
07-01-2019,07-01-2019,00008/07/2019/09010/SPST,RPK-NON BPNT/Program Sembako,85147,KAB. TRENGGALEK,GULA,GKP EKS RAWSUGAR PT.DSI,MANIS KITA,1,Kg,20,20,11000,220000
07-01-2019,07-01-2019,00008/07/2019/09010/SPST,RPK-NON BPNT/Program Sembako,85147,KAB. TRENGGALEK,MINYAK GORENG,MINYAK GORENG KITA,MINYAK GORENG KITA,1,L,48,48,9900,475200
07-01-2019,07-01-2019,00007/07/2019/09010/SPST,RPK-NON BPNT/Program Sembako,25060,KAB. SERANG,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,150,150,70000,10500000
07-01-2019,07-01-2019,00007/07/2019/09010/SPST,RPK-NON BPNT/Program Sembako,25060,KAB. SERANG,GULA,GKP EKS RAWSUGAR PT.DSI,MANIS KITA,1,Kg,20,20,11000,220000
07-01-2019,07-01-2019,00007/07/2019/09010/SPST,RPK-NON BPNT/Program Sembako,25060,KAB. SERANG,MINYAK GORENG,MINYAK GORENG KITA,MINYAK GORENG KITA,1,L,60,60,9900,594000
07-01-2019,07-01-2019,00006/07/2019/09010/SPST,RPK-NON BPNT/Program Sembako,75778,KAB. SERANG,GULA,GKP EKS RAWSUGAR PT.DSI,MANIS KITA,1,Kg,3,3,11000,33000
07-01-2019,07-01-2019,00006/07/2019/09010/SPST,RPK-NON BPNT/Program Sembako,75778,KAB. SERANG,MINYAK GORENG,MINYAK GORENG KITA,MINYAK GORENG KITA,1,L,4,4,9900,39600
07-01-2019,07-01-2019,00005/07/2019/09010/SPST,RPK-NON BPNT/Program Sembako,84345,KOTA SERANG,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,2,2,70000,140000
07-01-2019,07-01-2019,00004/07/2019/09010/SPST,RPK-NON BPNT/Program Sembako,25060,KAB. SERANG,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,10,10,70000,700000
07-01-2019,07-01-2019,00003/07/2019/09010/SPST,RPK-NON BPNT/Program Sembako,51225,KOTA SERANG,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,10,10,70000,700000
07-01-2019,07-01-2019,00002/07/2019/09010/SPST,RPK-NON BPNT/Program Sembako,74088,KOTA SERANG,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,10,10,70000,700000
07-01-2019,07-01-2019,00001/07/2019/09010/SPST,RPK-NON BPNT/Program Sembako,71709,KAB. SERANG,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,11,11,70000,770000
07-01-2019,07-01-2019,01525/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,14427,KOTA ADM. JAKARTA SELATAN,GULA,GKP EKS RAWSUGAR PT.JMR,MANIS KITA,1,Kg,48,48,11500,552000
07-01-2019,07-01-2019,01524/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,17513,KOTA BEKASI,BERAS,PREMIUM 10%,BERAS KITA PREMIUM,5,Kg,18,90,58500,1053000
07-01-2019,07-01-2019,01524/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,17513,KOTA BEKASI,GULA,GKP EKS RAWSUGAR PT.JMR,MANIS KITA,1,Kg,24,24,11500,276000
07-01-2019,07-01-2019,01524/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,17513,KOTA BEKASI,TEPUNG TERIGU,TERIGU KITA,TERIGU KITA,1,Kg,8,8,8000,64000
07-01-2019,07-01-2019,01523/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,18726,KOTA ADM. JAKARTA SELATAN,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,15,15,70000,1050000
07-01-2019,07-01-2019,01522/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,3399,KOTA ADM. JAKARTA BARAT,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,15,15,70000,1050000
07-01-2019,07-01-2019,01521/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,1126,KAB. BEKASI,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,9,9,70000,630000
07-01-2019,07-01-2019,01520/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,1058,KOTA ADM. JAKARTA SELATAN,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,50,50,70000,3500000
07-01-2019,07-01-2019,01520/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,1058,KOTA ADM. JAKARTA SELATAN,GULA,GKP EKS RAWSUGAR PT.JMR,MANIS KITA,1,Kg,24,24,11500,276000
07-01-2019,07-01-2019,01519/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,7422,KOTA BEKASI,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,10,10,70000,700000
07-01-2019,07-01-2019,01518/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,23711,KOTA TANGERANG SELATAN,BERAS,KHUSUS,BERAS PANDAN WANGI 5KG,5,Kg,2,10,72500,145000
07-01-2019,07-01-2019,01518/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,23711,KOTA TANGERANG SELATAN,BERAS,PREMIUM 15%,BERAS KITA PREMIUM,5,Kg,3,15,54500,163500
07-01-2019,07-01-2019,01518/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,23711,KOTA TANGERANG SELATAN,BERAS,PREMIUM 10%,BERAS KITA PREMIUM,5,Kg,3,15,58500,175500
07-01-2019,07-01-2019,01517/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,3399,KOTA ADM. JAKARTA BARAT,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,6,6,70000,420000
07-01-2019,07-01-2019,01516/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,44072,KOTA ADM. JAKARTA SELATAN,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,110,110,70000,7700000
07-01-2019,07-01-2019,01515/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,3135,KOTA ADM. JAKARTA BARAT,BERAS,PREMIUM 15%,BERAS KITA PREMIUM,5,Kg,4,20,54500,218000
07-01-2019,07-01-2019,01515/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,3135,KOTA ADM. JAKARTA BARAT,GULA,GKP EKS RAWSUGAR PT.JMR,MANIS KITA,1,Kg,15,15,11500,172500
07-01-2019,07-01-2019,01514/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,1058,KOTA ADM. JAKARTA SELATAN,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,10,10,70000,700000
07-01-2019,07-01-2019,01514/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,1058,KOTA ADM. JAKARTA SELATAN,BERAS,PREMIUM 15%,BERAS KITA PREMIUM,5,Kg,3,15,54500,163500
07-01-2019,07-01-2019,01513/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,18726,KOTA ADM. JAKARTA SELATAN,BERAS,KHUSUS,BERAS PANDAN WANGI 5KG,5,Kg,6,30,72500,435000
07-01-2019,07-01-2019,01513/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,18726,KOTA ADM. JAKARTA SELATAN,BERAS,PREMIUM 10%,BERAS KITA PREMIUM,5,Kg,10,50,58500,585000
07-01-2019,07-01-2019,01512/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,1043,KOTA ADM. JAKARTA SELATAN,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,20,20,70000,1400000
07-01-2019,07-01-2019,01512/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,1043,KOTA ADM. JAKARTA SELATAN,MINYAK GORENG,MINYAK GORENG KITA,MINYAK GORENG KITA,1,L,12,12,10000,120000
07-01-2019,07-01-2019,01511/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,82115,KOTA BEKASI,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,100,100,70000,7000000
07-01-2019,07-01-2019,01511/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,82115,KOTA BEKASI,BERAS,KHUSUS,BERAS PANDAN WANGI 5KG,5,Kg,20,100,72500,1450000
07-01-2019,07-01-2019,01511/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,82115,KOTA BEKASI,BERAS,KHUSUS,BERASKITA BERAS MERAH,1,Kg,20,20,21000,420000
07-01-2019,07-01-2019,01511/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,82115,KOTA BEKASI,MINYAK GORENG,MINYAK GORENG,ROSE BRAND,18,L,16,288,207000,3312000
07-01-2019,07-01-2019,01511/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,82115,KOTA BEKASI,BERAS,PREMIUM 10%,BERAS KITA PREMIUM,5,Kg,50,250,59000,2950000
07-01-2019,07-01-2019,01511/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,82115,KOTA BEKASI,GULA,GKP EKS RAWSUGAR PT.JMR,MANIS KITA,1,Kg,100,100,11000,1100000
07-01-2019,07-01-2019,01511/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,82115,KOTA BEKASI,MINYAK GORENG,MINYAK GORENG KITA,MINYAK GORENG KITA,1,L,65,65,10500,682500
07-01-2019,07-01-2019,01511/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,82115,KOTA BEKASI,TEPUNG TERIGU,TERIGU KITA,TERIGU KITA,1,Kg,105,105,8000,840000
07-01-2019,07-01-2019,01510/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,6352,KOTA BEKASI,BERAS,KHUSUS,BERAS PANDAN WANGI 5KG,5,Kg,10,50,72500,725000
07-01-2019,07-01-2019,01509/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,1160,KOTA DEPOK,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,25,25,70000,1750000
07-01-2019,07-01-2019,01508/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,1115,KOTA BEKASI,GULA,GKP EKS RAWSUGAR PT.JMR,MANIS KITA,1,Kg,24,24,11500,276000
07-01-2019,07-01-2019,01508/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,1115,KOTA BEKASI,TEPUNG TERIGU,TERIGU KITA,TERIGU KITA,1,Kg,10,10,8000,80000
07-01-2019,07-01-2019,01507/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,20492,KOTA ADM. JAKARTA BARAT,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,20,20,70000,1400000
07-01-2019,07-01-2019,01507/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,20492,KOTA ADM. JAKARTA BARAT,BERAS,PREMIUM 10%,BERAS KITA PREMIUM,5,Kg,15,75,58500,877500
07-01-2019,07-01-2019,01507/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,20492,KOTA ADM. JAKARTA BARAT,GULA,GKP EKS RAWSUGAR PT.JMR,MANIS KITA,1,Kg,4,4,11500,46000
07-01-2019,07-01-2019,01506/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,3339,KAB. BEKASI,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,35,35,70000,2450000
07-01-2019,07-01-2019,01506/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,3339,KAB. BEKASI,GULA,GKP EKS RAWSUGAR PT.JMR,MANIS KITA,1,Kg,24,24,11500,276000
07-01-2019,07-01-2019,01506/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,3339,KAB. BEKASI,MINYAK GORENG,MINYAK GORENG KITA,MINYAK GORENG KITA,1,L,12,12,10000,120000
07-01-2019,07-01-2019,01506/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,3339,KAB. BEKASI,TEPUNG TERIGU,TERIGU KITA,TERIGU KITA,1,Kg,20,20,8000,160000
07-01-2019,07-01-2019,01505/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,18726,KOTA ADM. JAKARTA SELATAN,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,30,30,70000,2100000
07-01-2019,07-01-2019,01504/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,1087,KOTA ADM. JAKARTA UTARA,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,25,25,70000,1750000
07-01-2019,07-01-2019,01503/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,1149,KOTA DEPOK,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,75,75,70000,5250000
07-01-2019,07-01-2019,01502/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,1063,KOTA ADM. JAKARTA TIMUR,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,50,50,70000,3500000
07-01-2019,07-01-2019,01501/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,1115,KOTA BEKASI,BERAS,PREMIUM 10%,BERAS KITA PREMIUM,5,Kg,10,50,59000,590000
07-01-2019,07-01-2019,01500/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,70948,KOTA BEKASI,BERAS,KHUSUS,BERAS MILKY,1,Kg,15,15,21000,315000
07-01-2019,07-01-2019,01500/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,70948,KOTA BEKASI,BERAS,KHUSUS,BERAS PANDAN WANGI 5KG,5,Kg,50,250,72500,3625000
07-01-2019,07-01-2019,01500/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,70948,KOTA BEKASI,BERAS,KHUSUS,BERASKITA BERAS HITAM,1,Kg,5,5,28000,140000
07-01-2019,07-01-2019,01500/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,70948,KOTA BEKASI,BERAS,KHUSUS,BERASKITA BERAS MERAH,1,Kg,20,20,21000,420000
07-01-2019,07-01-2019,01500/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,70948,KOTA BEKASI,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,60,60,70000,4200000
07-01-2019,07-01-2019,01500/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,70948,KOTA BEKASI,BERAS,PREMIUM 10%,BERAS KITA PREMIUM,5,Kg,40,200,59000,2360000
07-01-2019,07-01-2019,01500/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,70948,KOTA BEKASI,GULA,GKP EKS RAWSUGAR PT.JMR,MANIS KITA,1,Kg,20,20,11000,220000
07-01-2019,07-01-2019,01500/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,70948,KOTA BEKASI,MINYAK GORENG,MINYAK GORENG KITA,MINYAK GORENG KITA,1,L,24,24,10500,252000
07-01-2019,07-01-2019,01499/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,82114,KAB. BOGOR,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,70,70,70000,4900000
07-01-2019,07-01-2019,01499/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,82114,KAB. BOGOR,BERAS,KHUSUS,BERAS PANDAN WANGI 5KG,5,Kg,5,25,72500,362500
07-01-2019,07-01-2019,01499/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,82114,KAB. BOGOR,BERAS,PREMIUM 15%,BERAS KITA PREMIUM,5,Kg,5,25,52500,262500
07-01-2019,07-01-2019,01499/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,82114,KAB. BOGOR,BERAS,PREMIUM 10%,BERAS KITA PREMIUM,5,Kg,5,25,59000,295000
07-01-2019,07-01-2019,01499/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,82114,KAB. BOGOR,GULA,GKP EKS RAWSUGAR PT.JMR,MANIS KITA,1,Kg,72,72,11000,792000
07-01-2019,07-01-2019,01499/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,82114,KAB. BOGOR,MINYAK GORENG,MINYAK GORENG KITA,MINYAK GORENG KITA,1,L,72,72,10500,756000
07-01-2019,07-01-2019,01499/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,82114,KAB. BOGOR,TEPUNG TERIGU,TERIGU KITA,TERIGU KITA,1,Kg,80,80,8000,640000
07-01-2019,07-01-2019,01498/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,72065,KOTA ADM. JAKARTA TIMUR,BERAS,KHUSUS,BERASKITA BERAS HITAM,1,Kg,3,3,28000,84000
07-01-2019,07-01-2019,01497/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,71599,KOTA BEKASI,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,1,1,70000,70000
07-01-2019,07-01-2019,01497/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,71599,KOTA BEKASI,GULA,GKP EKS RAWSUGAR PT.JMR,MANIS KITA,1,Kg,72,72,11500,828000
07-01-2019,07-01-2019,01496/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,44074,KOTA ADM. JAKARTA SELATAN,BERAS,PREMIUM 15%,BERAS KITA PREMIUM,5,Kg,10,50,54500,545000
07-01-2019,07-01-2019,01496/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,44074,KOTA ADM. JAKARTA SELATAN,GULA,GKP EKS RAWSUGAR PT.JMR,MANIS KITA,1,Kg,96,96,11500,1104000
07-01-2019,07-01-2019,01495/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,1086,KOTA ADM. JAKARTA TIMUR,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,20,20,70000,1400000
07-01-2019,07-01-2019,01494/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,44072,KOTA ADM. JAKARTA SELATAN,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,40,40,70000,2800000
07-01-2019,07-01-2019,01493/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,37140,KOTA ADM. JAKARTA SELATAN,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,5,5,70000,350000
07-01-2019,07-01-2019,01492/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,44876,KOTA TANGERANG,BERAS,PREMIUM 10%,BERAS KITA PREMIUM,5,Kg,2,10,59000,118000
07-01-2019,07-01-2019,01492/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,44876,KOTA TANGERANG,GULA,GKP EKS RAWSUGAR PT.JMR,MANIS KITA,1,Kg,4,4,11500,46000
07-01-2019,07-01-2019,01492/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,44876,KOTA TANGERANG,MINYAK GORENG,MINYAK GORENG KITA,MINYAK GORENG KITA,1,L,2,2,10500,21000
07-01-2019,07-01-2019,01491/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,20554,KAB. BOGOR,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,6,6,70000,420000
07-01-2019,07-01-2019,01491/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,20554,KAB. BOGOR,BERAS,KHUSUS,BERAS PANDAN WANGI 5KG,5,Kg,2,10,73000,146000
07-01-2019,07-01-2019,01491/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,20554,KAB. BOGOR,BERAS,PREMIUM 10%,BERAS KITA PREMIUM,5,Kg,4,20,59000,236000
07-01-2019,07-01-2019,01491/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,20554,KAB. BOGOR,GULA,GKP EKS RAWSUGAR PT.JMR,MANIS KITA,1,Kg,5,5,11500,57500
07-01-2019,07-01-2019,01491/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,20554,KAB. BOGOR,MINYAK GORENG,MINYAK GORENG KITA,MINYAK GORENG KITA,1,L,3,3,10500,31500
07-01-2019,07-01-2019,01490/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,17414,KOTA ADM. JAKARTA TIMUR,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,50,50,70000,3500000
07-01-2019,07-01-2019,01490/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,17414,KOTA ADM. JAKARTA TIMUR,BERAS,PREMIUM 10%,BERAS KITA PREMIUM,1,Kg,65,65,12150,789750
07-01-2019,07-01-2019,01490/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,17414,KOTA ADM. JAKARTA TIMUR,BERAS,PREMIUM 10%,BERAS KITA PREMIUM,5,Kg,5,25,59000,295000
07-01-2019,07-01-2019,01490/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,17414,KOTA ADM. JAKARTA TIMUR,GULA,GKP EKS RAWSUGAR PT.JMR,MANIS KITA,1,Kg,70,70,11000,770000
07-01-2019,07-01-2019,01490/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,17414,KOTA ADM. JAKARTA TIMUR,MINYAK GORENG,MINYAK GORENG KITA,MINYAK GORENG KITA,1,L,40,40,10500,420000
07-01-2019,07-01-2019,01484/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,73625,KOTA ADM. JAKARTA TIMUR,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,10,10,70000,700000
07-01-2019,07-01-2019,01484/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,73625,KOTA ADM. JAKARTA TIMUR,BERAS,PREMIUM 10%,BERAS KITA PREMIUM,5,Kg,10,50,59000,590000
07-01-2019,07-01-2019,01484/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,73625,KOTA ADM. JAKARTA TIMUR,MINYAK GORENG,MINYAK GORENG KITA,MINYAK GORENG KITA,1,L,5,5,10500,52500
07-01-2019,07-01-2019,01488/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,1043,KOTA ADM. JAKARTA SELATAN,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,30,30,70000,2100000
07-01-2019,07-01-2019,01489/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,5209,KOTA BEKASI,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,40,40,70000,2800000
07-01-2019,07-01-2019,01487/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,21313,KOTA ADM. JAKARTA BARAT,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,3,3,70000,210000
07-01-2019,07-01-2019,01487/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,21313,KOTA ADM. JAKARTA BARAT,BERAS,KHUSUS,BERAS PANDAN WANGI 5KG,5,Kg,1,5,73000,73000
07-01-2019,07-01-2019,01486/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,25286,KOTA ADM. JAKARTA SELATAN,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,3,3,70000,210000
07-01-2019,07-01-2019,01483/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,19294,KOTA ADM. JAKARTA TIMUR,BERAS,KHUSUS,BERAS MILKY,1,Kg,2,2,21000,42000
07-01-2019,07-01-2019,01483/07/2019/09001/SPST,RPK-NON BPNT/Program Sembako,19294,KOTA ADM. JAKARTA TIMUR,BERAS,KHUSUS,BERASKITA BERAS HITAM,1,Kg,8,8,28000,224000
